LOCALIZACAO,SINAL,LIGAÇÃO,STREAMING
"-28.35083, -49.29583",TORRE,5G,OK
"-28.51944, -49.32278",TORRE,5G,OK
"-28.86306, -49.58611",TORRE,4G,OK
"-28.83583, -49.64750",TORRE,4G,OK
"-28.74917, -49.75111",TORRE,4G,OK
"-28.80306, -49.71972",TORRE,4G,OK
"-28.99694, -49.75861",TORRE,4G,OK
"-28.99694, -49.75861",TORRE,4G,OK
"-29.25833, -49.67389",TORRE,4G,OK
"-29.29833, -49.76833",TORRE,4G,OK
"-29.32389, -49.72056",TORRE,4G,OK
"-29.19472, -49.94417",TORRE,4G,OK
"-29.19528, -49.94389",TORRE,4G,OK
"-28.83028, -49.83556",TORRE,4G,OK
"-28.82972, -49.83500",TORRE,4G,OK
"-28.24583, -49.05333",TORRE,4G,OK
"-28.26722, -49.00556",TORRE,4G,OK
"-28.24583, -49.05361",TORRE,4G,OK
"-28.27778, -49.10194",TORRE,4G,OK
"-28.24806, -49.15639",TORRE,4G,OK
"-28.45000, -48.96389",TORRE,4G,OK
"-28.19639, -49.21667",TORRE,4G,OK
"-28.21778, -49.33611",TORRE,4G,OK
"-28.35528, -48.99528",TORRE,4G,OK
"-28.33139, -49.06861",TORRE,4G,OK
"-28.31611, -49.02167",TORRE,4G,OK
"-28.29139, -48.89806",TORRE,4G,OK
"-28.34417, -48.80694",TORRE,4G,OK
"-28.26639, -48.69389",TORRE,4G,OK
"-28.21417, -48.70556",TORRE,4G,OK
"-28.21583, -48.67389",TORRE,4G,OK
"-28.15639, -48.65694",TORRE,4G,OK
"-28.21389, -48.70528",TORRE,4G,OK
"-28.21361, -48.70528",TORRE,4G,OK
"-28.12667, -48.65167",TORRE,4G,OK
"-28.19167, -48.66472",TORRE,4G,OK
"-28.11611, -48.65111",TORRE,4G,OK
"-28.11611, -48.65111",TORRE,4G,OK
"-28.12333, -48.65639",TORRE,4G,OK
"-28.12889, -48.64639",TORRE,4G,OK
"-28.12722, -48.64833",TORRE,4G,OK
"-28.13389, -48.68917",TORRE,4G,OK
"-28.52111, -49.24750",TORRE,4G,OK
"-28.44917, -49.20194",TORRE,4G,OK
"-28.39917, -48.89194",TORRE,4G,OK
"-28.42444, -48.92306",TORRE,4G,OK
"-28.07694, -49.24222",TORRE,4G,OK
"-28.13389, -49.12667",TORRE,4G,OK
"-28.32361, -49.18056",TORRE,4G,OK
"-28.35056, -49.21444",TORRE,4G,OK
"-28.34611, -49.12611",TORRE,4G,OK
"-28.11833, -48.94944",TORRE,4G,OK
"-28.10139, -49.00500",TORRE,4G,OK
"-28.16917, -48.97944",TORRE,4G,OK
"-28.52639, -49.05694",TORRE,4G,OK
"-28.52139, -48.98528",TORRE,4G,OK
"-28.52694, -49.05306",TORRE,4G,OK
"-28.36806, -49.62778",TORRE,5G,OK
"-28.27806, -49.15556",TORRE,5G,OK
"-28.26889, -49.17111",TORRE,5G,OK
"-28.27444, -49.13250",TORRE,5G,OK
"-28.44500, -48.96611",TORRE,5G,OK
"-28.15917, -48.69139",TORRE,5G,OK
"-28.29139, -48.71417",TORRE,5G,OK
"-28.12917, -48.64722",TORRE,5G,OK
"-28.25056, -48.68833",TORRE,5G,OK
"-28.13528, -48.64917",TORRE,5G,OK
"-28.23639, -48.66417",TORRE,5G,OK
"-28.48056, -49.02222",TORRE,5G,OK
"-28.47278, -48.98250",TORRE,5G,OK
"-28.48306, -48.99972",TORRE,5G,OK
"-28.47667, -49.02778",TORRE,5G,OK
"-28.48778, -49.01306",TORRE,5G,OK
"-28.50694, -49.04722",TORRE,5G,OK
"-28.48806, -49.01222",TORRE,5G,OK
"-28.48056, -49.01139",TORRE,5G,OK
"-28.48278, -49.00556",TORRE,5G,OK
"-28.43500, -49.09083",TORRE,5G,OK
"-28.46750, -48.99306",TORRE,5G,OK
"-28.46556, -49.01667",TORRE,5G,OK
"-28.47500, -48.99528",TORRE,5G,OK
"-28.49361, -49.01806",TORRE,5G,OK
"-28.42806, -49.01278",TORRE,5G,OK
